Wall time,Step,Value
1687181965.3674803,19,0.019999999552965164
1687182015.5389867,43,0.019999999552965164
1687182022.1498275,46,0.019999999552965164
1687182077.3828247,72,0.019999999552965164
1687182126.155691,95,0.019999999552965164
1687182261.8262098,159,0.019999999552965164
1687182280.9798336,168,0.019999999552965164
1687182412.0264237,230,0.019999999552965164
1687182422.4906163,235,0.019999999552965164
1687182467.1273406,256,0.019999999552965164
1687182505.2060032,274,0.019999999552965164
1687182579.1460629,309,0.019999999552965164
1687182583.3248496,311,0.019999999552965164
1687182600.3512604,319,0.019999999552965164
1687182818.7427993,422,0.019999999552965164
1687182901.3069212,461,0.019999999552965164
1687182930.7765033,475,0.019999999552965164
1687183062.258334,537,0.019999999552965164
1687183119.1907177,564,0.019999999552965164
1687183153.1763463,580,0.019999999552965164
1687183167.797272,587,0.019999999552965164
1687183169.848188,588,0.019999999552965164
1687183602.6807659,635,0.03999999910593033
1687183630.2106822,648,0.03999999910593033
1687183659.9305274,662,0.03999999910593033
1687183680.9314961,672,0.03999999910593033
1687183772.237602,715,0.03999999910593033
1687183789.3683593,723,0.03999999910593033
1687183880.4152484,766,0.03999999910593033
1687183892.9945755,772,0.03999999910593033
1687183922.5263836,786,0.03999999910593033
1687183926.7456033,788,0.03999999910593033
1687183958.4241366,803,0.03999999910593033
1687183971.2020516,809,0.03999999910593033
1687184030.205633,837,0.03999999910593033
1687184261.6150715,946,0.03999999910593033
1687184316.5272708,972,0.03999999910593033
1687184318.8068209,973,0.03999999910593033
1687184331.5115702,979,0.03999999910593033
1687184388.660216,1006,0.03999999910593033
1687184407.6132727,1015,0.03999999910593033
1687184511.7578032,1064,0.03999999910593033
1687184518.084875,1067,0.03999999910593033
1687184575.2182167,1094,0.03999999910593033
1687184598.381626,1105,0.03999999910593033
1687184718.8795702,1162,0.03999999910593033
1687185093.0856743,1181,0.05999999865889549
1687185265.5197055,1262,0.05999999865889549
1687185381.7013295,1317,0.05999999865889549
1687185387.988249,1320,0.05999999865889549
1687185417.5708747,1334,0.05999999865889549
1687185426.17342,1338,0.05999999865889549
1687185527.6156313,1386,0.05999999865889549
1687185542.2330003,1393,0.05999999865889549
1687185589.1378546,1415,0.05999999865889549
1687185614.5727007,1427,0.05999999865889549
